Ticker,Company Name,Revenue,Profit,Net Margin %,PBT,PAT,ROA,ROE,EPS
TRANSEXPR,Trans Nationwide Express Plc,163695000.0,-95475000.0,-58.3249335654724,-94887000.00000004,-95475000.0,-14.373634711706801,-37.2858916981044,-0.1812
TRANSPOWER,Transcorp Power PLC,374425696000.0,85300693000.0,22.7817411869083,116284157999.99988,85300693000.0,14.9448003042688,51.1148275024013,11.3734
TRIPPLEG,Tripple Gee & Company Plc.,2252881000.0,144219560.0,6.40156137851933,150824559.99999994,144219560.0,2.79478259974439,,0.1457
UACN,UAC of Nigeria PLC,597914795000.0,13160209000.0,2.20101745433478,28198652000.000027,13160209000.0,3.6593641493347198,18.3201630830563,4.4975
UBA,United Bank for Africa PLC,3126596000000.0,328276000000.0,15.980909133394608,379788999999.99884,328276000000.0,1.01251527057447,8.49341692660199,8.5382
UCAP,United Capital Plc,241182155000.0,37354586000.0,15.4881218305724,49994338000.0001,37354586000.0,2.31342981418205,21.1042858160896,2.0752
UHOMREIT,UH Real Estate Investment Trust,2216856000.0,18303638000.0,825.657507749714,18303663000.0,18303638000.0,90.6977292712395,97.3491795161766,97.294
UNILEVER,Unilever Nigeria PLC,236123195000.0,33391438000.000004,14.1415323471292,56748594999.999985,33391438000.000004,19.7719856499699,33.9494273937001,5.8122
UNIONDICON,Union Dicon Salt Plc,26636000.0,-79358000.0,-297.935125394203,-79357999.99999991,-79358000.0,-1.11622524068862,,-0.2903
UNITYBNK,Unity Bank PLC,,,,,,,,
UNIVINSURE,Universal Insurance Plc,24911198000.0,-731721000.0,-2.93731758705463,-441197000.0000011,-731721000.0,-2.56940355187285,-3.87947649618729,-0.0458
UPDC,UPDC Plc,15041214000.0,-304184000.0,-2.02233676084922,2685824999.999997,-304184000.0,-1.05873111640942,-2.79491935585757,-0.0164
UPDCREIT,UPDC Real Estate Investment Trust,3679840000.0,4955342000.0,134.661887473368,4955341999.999985,4955342000.0,13.662068257433702,14.338559505363998,1.8571
UPL,University Press PLC,3979123000.0,82812000.0000001,2.08116210531819,350957000.0,82812000.0000001,1.86075105477837,2.49694334599213,0.192
VERITASKAP,Veritas Kapital Assurance Plc,27978311000.0,1214714000.0,4.34162734126445,1954422000.0000007,1214714000.0,3.11704465283722,7.278525971371221,0.1925
VFDGROUP,VFD Group PLC,81428213000.0,11333415000.0,13.9182902122634,19928717000.000034,11333415000.0,2.72584014424782,19.0042945986735,1.0802
VITAFOAM,Vitafoam Nigeria Plc,125680168000.0,17473215000.0,13.9029214219383,28403744999.999996,17473215000.0,27.317657951688503,48.6949859746901,11.4543
WAPIC,Coronation Insurance Plc,90706296000.0,10872455000.0,11.9864391772761,12117870999.999971,10872455000.0,9.63292255507982,21.1922741916805,0.4532
WEMABANK,Wema Bank PLC,659724595000.0,193204299000.0,43.639476619098566,222083632000.00006,193204299000.0,4.45914124436427,46.2828714923772,6.8453
ZENITHBANK,Zenith Bank PLC,4047996000000.0,1041477000000.0,34.547377890649415,1273472999999.9983,1041477000000.0,3.2311364708614705,21.6915265590127,25.3586
ZICHIS,Zichis Agro-Allied Industries Plc,,,,,,,,
